Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.34244606,999.0,0.0,0.0,1.0
20000,1.4189383,0.29303104,999.0,0.0,0.0,1.0
30000,1.418285,0.31634554,999.0,0.0,0.0,1.0
40000,1.4181805,0.33877042,999.0,-0.2,-0.2,1.0
50000,1.4174383,0.30789334,999.0,-2.0,-2.0,1.0
60000,1.4172174,0.32756397,999.0,0.0,0.0,1.0
70000,1.4173906,0.30719814,999.0,0.0,0.0,1.0
80000,1.4174898,0.2672666,999.0,-0.43333333333333335,-0.43333333333333335,1.0
90000,1.4170291,0.26171178,999.0,0.0,0.0,1.0
100000,1.4166754,0.22628537,999.0,-0.4375,-0.4375,1.0
110000,1.4166136,0.22911753,999.0,0.0,0.0,1.0
120000,1.4165633,0.20729595,999.0,0.0,0.0,1.0
130000,1.4161575,0.19237846,999.0,0.0,0.0,1.0
140000,1.4154378,0.16858232,999.0,0.0,0.0,1.0
150000,1.415417,0.16295102,999.0,-1.625,-1.625,1.0
160000,1.415415,0.14929762,999.0,-0.13333333333333333,-0.13333333333333333,1.0
170000,1.415451,0.11318306,999.0,-1.5,-1.5,1.0
180000,1.4156004,0.13466586,999.0,0.0,0.0,1.0
190000,1.4155831,0.13103949,999.0,0.0,0.0,1.0
200000,1.4153501,0.12041303,999.0,0.0,0.0,1.0
210000,1.4153501,0.113029145,999.0,-0.2777777777777778,-0.2777777777777778,1.0
220000,1.4151419,0.10852661,999.0,0.0,0.0,1.0
230000,1.4151446,0.102736376,999.0,0.0,0.0,1.0
240000,1.4148825,0.088742554,999.0,0.0,0.0,1.0
250000,1.4148369,0.08923535,999.0,0.0,0.0,1.0
260000,1.414377,0.07334632,999.0,0.0,0.0,1.0
270000,1.4142417,0.056393363,999.0,-0.625,-0.625,1.0
280000,1.4145215,0.0621704,999.0,-0.06666666666666667,-0.06666666666666667,1.0
290000,1.4146596,0.055206217,999.0,0.0,0.0,1.0
300000,1.4145843,0.051151313,999.0,-0.0625,-0.0625,1.0
310000,1.414509,0.041047838,999.0,0.0,0.0,1.0
320000,1.4147071,0.039367244,999.0,-0.36666666666666664,-0.36666666666666664,1.0
330000,1.4149348,0.038914908,999.0,0.0,0.0,1.0
340000,1.4148709,0.030673593,999.0,0.0,0.0,1.0
350000,1.4147567,0.029072873,999.0,-0.75,-0.75,1.0
360000,1.4146624,0.027904313,999.0,0.0,0.0,1.0
370000,1.4144362,0.02309424,999.0,-0.18124981390105355,-0.18124981390105355,1.0
380000,1.4142752,0.020366054,999.0,-0.0625,-0.0625,1.0
390000,1.4135075,0.026011419,999.0,0.0,0.0,1.0
400000,1.4134456,0.02483196,999.0,0.18969988822937012,0.18969988822937012,1.0
410000,1.4124781,0.023779873,999.0,0.0,0.0,1.0
420000,1.4124781,0.023197114,999.0,0.0,0.0,1.0
430000,1.4116018,0.02083662,999.0,0.016922444105148315,0.016922444105148315,1.0
440000,1.4115778,0.018923076,999.0,0.0,0.0,1.0
450000,1.4096218,0.026768968,999.0,0.0,0.0,1.0
460000,1.4093406,0.024356306,999.0,0.0,0.0,1.0
470000,1.4081701,0.008173159,999.0,0.360073983669281,0.360073983669281,1.0
480000,1.4078356,0.025518266,999.0,-3.1,-3.1,1.0
490000,1.4092603,0.016079556,999.0,-0.5555555555555556,-0.5555555555555556,1.0
500000,1.4099711,0.017543625,999.0,0.0,0.0,1.0
510000,1.4107597,-0.0032913247,999.0,-0.7698011696338654,-0.7698011696338654,1.0
520000,1.4112943,0.0052652736,999.0,0.0,0.0,1.0
530000,1.4110816,0.006488587,999.0,0.0,0.0,1.0
540000,1.4108335,0.006538468,999.0,0.3697245717048645,0.3697245717048645,1.0
550000,1.4106873,0.019020615,999.0,0.0,0.0,1.0
560000,1.4104532,0.014340358,999.0,0.1922861893971761,0.1922861893971761,1.0
570000,1.4102157,0.0099039655,999.0,0.0,0.0,1.0
580000,1.4095427,0.025844956,999.0,0.0,0.0,1.0
590000,1.4095142,0.021220772,999.0,0.0,0.0,1.0
600000,1.4094017,-0.0040920367,999.0,-2.3666666666666667,-2.3666666666666667,1.0
610000,1.4093838,0.015081771,999.0,-0.5555555555555556,-0.5555555555555556,1.0
620000,1.4091498,0.011298801,999.0,0.0,0.0,1.0
630000,1.4091498,0.005823716,999.0,0.0,0.0,1.0
640000,1.4092672,0.013882668,999.0,-0.03333333333333333,-0.03333333333333333,1.0
650000,1.4092695,0.00972307,999.0,0.0,0.0,1.0
660000,1.4090838,0.006756297,999.0,0.0,0.0,1.0
670000,1.4090596,0.007623019,999.0,0.0,0.0,1.0
680000,1.4091281,0.0045039137,999.0,0.0,0.0,1.0
690000,1.4091429,0.016397584,999.0,0.3166848023732503,0.3166848023732503,1.0
700000,1.4099228,0.0057495823,999.0,-0.125,-0.125,1.0
710000,1.4102991,0.0016093644,999.0,0.0,0.0,1.0
720000,1.4106134,-0.0041949176,999.0,-0.8901005178689957,-0.8901005178689957,1.0
730000,1.4108335,0.004213323,999.0,0.12482755713992649,0.12482755713992649,1.0
740000,1.4106485,0.0023357559,999.0,0.0,0.0,1.0
750000,1.410437,0.0045496263,999.0,0.0,0.0,1.0
760000,1.4104933,0.0036211514,999.0,0.0,0.0,1.0
770000,1.4105928,0.009507666,999.0,0.3239455322424571,0.3239455322424571,1.0
780000,1.4105837,0.0066308742,999.0,0.0,0.0,1.0
790000,1.4105486,0.0059740175,999.0,0.0,0.0,1.0
800000,1.4102306,0.0032832928,999.0,0.0,0.0,1.0
810000,1.4085923,0.0063328533,999.0,0.0,0.0,1.0
820000,1.4085648,0.00693655,999.0,0.3757360577583313,0.3757360577583313,1.0
830000,1.4083251,0.0069125,999.0,0.0,0.0,1.0
840000,1.4083251,0.009076841,999.0,0.3978771050771078,0.3978771050771078,1.0
850000,1.4081268,0.024320701,999.0,0.0,0.0,1.0
860000,1.408116,0.019064577,999.0,0.0,0.0,1.0
870000,1.4072307,0.025533386,999.0,0.0,0.0,1.0
880000,1.4071028,0.02754987,999.0,0.4056917890906334,0.4056917890906334,1.0
890000,1.4061509,0.030203458,999.0,0.06022890408833822,0.06022890408833822,1.0
900000,1.4058748,0.029699618,999.0,0.0,0.0,1.0
910000,1.4057182,0.020741453,999.0,0.44163066148757935,0.44163066148757935,1.0
920000,1.4056436,0.025634034,999.0,0.1624013582865397,0.1624013582865397,1.0
930000,1.4055086,0.022996312,999.0,0.19676245583428276,0.19676245583428276,1.0
940000,1.4053994,0.026439896,999.0,0.0,0.0,1.0
950000,1.4054952,0.02896666,999.0,0.05719223991036415,0.05719223991036415,1.0
960000,1.4055921,0.009660858,999.0,0.3525271415710449,0.3525271415710449,1.0
970000,1.4054923,0.020895842,999.0,0.37404365009731716,0.37404365009731716,1.0
980000,1.4052988,0.0140839,999.0,0.6334504783153534,0.6334504783153534,1.0
990000,1.4049296,0.017454354,999.0,0.0,0.0,1.0
1000000,1.4039872,0.019348003,973.5625,0.3729643290862441,0.3729643290862441,1.0
1010000,1.4039983,0.012241602,999.0,-0.0625,-0.0625,1.0
1020000,1.4040433,0.013828481,999.0,0.007351754233241081,0.007351754233241081,1.0
1030000,1.4038893,0.01658528,999.0,0.3502446413040161,0.3502446413040161,1.0
1040000,1.4031729,0.02170819,999.0,0.16387104988098145,0.16387104988098145,1.0
1050000,1.4031965,0.031422567,999.0,0.6897758841514587,0.6897758841514587,1.0
1060000,1.4034728,0.01618965,999.0,0.041837237775325775,0.041837237775325775,1.0
1070000,1.4034728,0.020438632,999.0,0.31384505331516266,0.31384505331516266,1.0
1080000,1.4040296,0.01813649,999.0,0.047527067363262177,0.047527067363262177,1.0
1090000,1.4040395,0.025576184,999.0,0.6269750893115997,0.6269750893115997,1.0
1100000,1.4026587,0.01764912,999.0,0.8429610133171082,0.8429610133171082,1.0
1110000,1.4024581,0.013738722,999.0,0.8007721677422523,0.8007721677422523,1.0
1120000,1.4001297,0.035667427,999.0,0.5427855020388961,0.5427855020388961,1.0
1130000,1.3995107,0.02409617,999.0,0.0,0.0,1.0
1140000,1.3991628,0.03328521,999.0,0.734461635351181,0.734461635351181,1.0
1150000,1.3990053,0.056635976,999.0,1.068922758102417,1.068922758102417,1.0
1160000,1.3984953,0.10314428,999.0,2.5497978234197944,2.5497978234197944,1.0
1170000,1.3981225,0.14250676,999.0,4.063251811545342,4.063251811545342,1.0
1180000,1.3971251,0.1651576,999.0,3.0744251180440187,3.0744251180440187,1.0
1190000,1.396085,0.16460726,999.0,6.649127815850079,6.649127815850079,1.0
1200000,1.3948921,0.13797319,999.0,4.4061265285126865,4.4061265285126865,1.0
1210000,1.3928854,0.22786215,999.0,5.919251352548599,5.919251352548599,1.0
1220000,1.3921912,0.24281192,999.0,5.932007041759789,5.932007041759789,1.0
1230000,1.3904856,0.24870916,999.0,8.525256942026317,8.525256942026317,1.0
